siec,unit,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
C0000X0350-0370,PC,IE	95.537 	98.037 	103.792 	100.138 	89.149 	106.102 	93.333 	108.381 	99.207 	96.338 	93.250 	100.420 	102.912 	95.772 	102.762 	100.823 	100.216 	90.052 	113.208 	112.678 	77.692 	114.526 	89.555 	112.413 	97.780 	102.975 	84.274 	109.797 	112.854 	68.227 	60.334 
C0000X0350-0370,PC,IS	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	108.360 	90.852 	105.877 	96.466 	98.112 	104.778 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
C0000X0350-0370,PC,IT	93.928 	99.144 	99.054 	92.348 	95.338 	105.945 	101.969 	94.387 	98.390 	100.583 	104.619 	101.128 	95.532 	97.661 	101.121 	99.423 	99.653 	99.241 	101.813 	97.321 	100.829 	96.050 	96.642 	96.205 	98.702 	100.150 	97.519 	100.193 	100.981 	98.556 	93.027 
C0000X0350-0370,PC,LT	97.007 	100.000 	139.666 	51.613 	96.473 	69.086 	120.628 	82.405 	102.367 	83.029 	101.737 	90.834 	105.813 	108.156 	100.804 	101.011 	99.737 	93.904 	113.943 	83.033 	95.676 	110.947 	95.936 	107.663 	98.115 	90.642 	91.752 	107.802 	99.009 	108.103 	87.876 
C0000X0350-0370,PC,LU	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	102.227 	98.703 	98.005 	94.572 	106.827 	99.841 	106.764 	96.213 	100.888 	93.136 	112.266 
C0000X0350-0370,PC,LV	99.200 	100.000 	97.753 	88.091 	87.796 	93.061 	87.419 	109.656 	87.694 	98.541 	84.141 	70.844 	100.000 	122.423 	96.175 	97.658 	122.038 	92.160 	99.974 	94.079 	106.468 	102.285 	99.312 	91.219 	77.451 	85.185 	85.946 	88.524 	91.330 	110.791 	89.617 
C0000X0350-0370,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	-2.107 	-5.034 	-2.784 	-0.042 	-1.947 	-2.830 	-2.748 	-3.118 	-1.196 	-1.534 	-3.081 	-2.719 	-6.653 	-5.621 	-7.055 	-4.694 
C0000X0350-0370,PC,MK	7.305 	6.085 	5.844 	5.575 	3.576 	4.674 	4.942 	5.015 	12.661 	7.466 	6.624 	5.570 	5.141 	10.595 	5.943 	7.912 	9.558 	10.506 	10.199 	3.168 	9.290 	9.022 	9.517 	8.607 	11.052 	8.878 	12.743 	9.115 	13.858 	11.742 	10.602 
C0000X0350-0370,PC,MT	100.000 	100.000 	100.000 	100.000 	102.941 	71.154 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
C0000X0350-0370,PC,NL	99.452 	100.042 	100.055 	99.171 	100.621 	100.766 	99.220 	102.811 	101.091 	97.314 	99.394 	100.349 	99.686 	98.886 	101.018 	101.267 	98.685 	100.646 	99.178 	97.889 	101.380 	100.911 	98.932 	97.605 	102.585 	96.563 	99.554 	100.826 	99.813 	102.148 	91.935 
C0000X0350-0370,PC,NO	77.441 	69.970 	80.941 	75.544 	79.256 	83.891 	84.933 	77.148 	78.322 	72.821 	57.071 	-13.307 	-84.253 	-139.527 	-109.405 	-53.076 	-126.196 	-192.851 	-175.224 	-202.112 	-50.207 	-26.293 	-6.527 	-86.761 	-30.440 	0.170 	15.951 	88.900 	86.021 	90.445 	92.151 
C0000X0350-0370,PC,PL	-25.515 	-22.009 	-22.878 	-22.204 	-27.791 	-30.160 	-25.061 	-25.989 	-26.595 	-25.634 	-28.977 	-29.268 	-28.418 	-26.188 	-27.598 	-23.767 	-21.464 	-15.272 	-6.523 	-5.166 	-4.964 	-0.999 	-6.437 	-10.173 	-8.565 	-11.436 	-11.704 	-2.963 	8.227 	6.018 	0.334 
C0000X0350-0370,PC,PT	108.465 	93.640 	96.173 	96.526 	96.787 	105.829 	97.907 	104.515 	101.062 	98.643 	102.868 	92.953 	99.944 	99.726 	95.207 	96.301 	105.555 	100.504 	91.148 	106.755 	98.289 	97.244 	103.324 	95.416 	96.886 	98.477 	102.301 	105.604 	98.914 	122.131 	-6.515 
C0000X0350-0370,PC,RO	36.809 	28.664 	37.442 	21.463 	26.075 	26.589 	25.000 	35.620 	31.823 	24.407 	25.506 	29.796 	31.338 	28.396 	32.971 	33.173 	28.334 	34.231 	26.471 	13.245 	16.860 	13.312 	16.163 	18.246 	16.643 	16.658 	19.478 	18.364 	17.562 	22.038 	22.000 
C0000X0350-0370,PC,RS	0.000 	0.000 	2.894 	0.000 	0.419 	-0.131 	1.365 	-0.378 	3.693 	1.895 	3.396 	1.930 	1.894 	3.436 	5.336 	8.153 	10.402 	8.382 	9.535 	7.287 	9.364 	9.067 	5.310 	3.472 	7.497 	8.035 	7.890 	8.506 	10.113 	10.462 	6.512 
C0000X0350-0370,PC,SE	94.307 	90.259 	93.979 	91.878 	93.914 	103.227 	87.052 	107.570 	101.979 	100.140 	105.363 	95.767 	91.300 	106.855 	97.717 	105.920 	93.079 	98.299 	104.410 	76.985 	113.726 	103.684 	82.551 	89.742 	101.198 	97.375 	115.743 	101.303 	100.259 	103.209 	100.347 
C0000X0350-0370,PC,SI	8.965 	7.973 	5.240 	11.359 	10.978 	13.655 	17.360 	14.029 	16.048 	22.652 	18.774 	18.534 	19.596 	20.401 	21.864 	20.998 	20.042 	20.639 	28.745 	17.882 	19.259 	17.532 	21.547 	19.500 	21.564 	19.108 	17.260 	17.357 	18.875 	20.082 	17.580 
C0000X0350-0370,PC,SK	78.088 	80.493 	81.574 	81.428 	82.577 	76.647 	85.114 	82.251 	73.096 	73.136 	80.195 	77.948 	77.075 	79.641 	83.129 	88.348 	80.839 	95.439 	85.910 	83.068 	75.736 	81.717 	89.659 	80.604 	83.330 	84.537 	83.260 	87.818 	91.865 	92.216 	86.166 
C0000X0350-0370,PC,TR	24.873 	26.017 	24.750 	26.098 	25.478 	26.610 	32.012 	34.898 	35.425 	32.670 	39.100 	29.835 	41.659 	49.516 	50.100 	51.942 	51.687 	49.432 	43.987 	44.221 	47.113 	47.294 	56.068 	58.551 	57.064 	63.181 	61.733 	61.706 	59.601 	57.745 	63.656 
C0000X0350-0370,PC,UK	13.515 	18.902 	21.990 	23.043 	19.354 	22.151 	26.387 	31.795 	35.186 	37.189 	39.599 	55.903 	48.222 	50.656 	60.373 	72.263 	76.086 	68.577 	75.724 	79.795 	50.341 	63.637 	68.693 	84.823 	89.521 	59.151 	50.153 	57.769 	81.818 	74.003 	: 
C0000X0350-0370,PC,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.874 	0.778 	0.784 	0.834 	0.966 	1.521 	1.820 	1.007 	1.125 	0.438 	1.554 	1.883 	3.319 	0.595 	0.240 	-0.100 	-0.113 	0.020 	0.045 	-0.184 	0.316 
G3000,PC,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
G3000,PC,AT	85.713 	79.440 	80.772 	80.692 	72.594 	84.775 	82.449 	78.434 	78.653 	75.979 	80.582 	72.177 	72.239 	80.219 	79.901 	88.453 	88.199 	82.665 	88.464 	86.896 	75.284 	104.320 	87.297 	74.713 	98.277 	72.601 	85.895 	90.221 	88.160 	122.849 	73.247 
G3000,PC,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100.000 	100.000 	100.000 	100.000 	100.011 	100.000 	100.000 
G3000,PC,BE	100.587 	99.153 	100.970 	100.650 	101.074 	98.186 	100.534 	100.137 	99.659 	101.075 	99.321 	99.653 	102.055 	98.897 	99.925 	100.517 	99.803 	99.473 	100.399 	99.311 	100.269 	100.501 	98.614 	100.516 	101.176 	99.324 	100.559 	98.410 	100.551 	101.797 	99.132 
G3000,PC,BG	100.640 	97.414 	99.870 	99.326 	97.861 	99.526 	101.152 	104.114 	99.711 	102.625 	93.542 	99.739 	103.995 	94.247 	95.835 	87.653 	89.935 	91.462 	96.232 	98.620 	92.636 	86.088 	83.338 	92.825 	94.067 	97.007 	96.452 	97.609 	98.729 	100.398 	96.420 
G3000,PC,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
G3000,PC,CZ	91.195 	108.766 	94.259 	95.826 	100.415 	98.049 	100.108 	99.248 	99.059 	96.319 	99.758 	96.317 	102.001 	98.163 	91.092 	97.807 	104.445 	93.439 	98.668 	104.009 	84.838 	110.225 	88.993 	100.216 	96.272 	95.089 	95.707 	101.857 	96.838 	109.753 	86.038 
G3000,PC,DE	75.939 	75.219 	78.103 	79.385 	81.103 	78.613 	79.690 	80.838 	77.060 	79.588 	79.141 	76.989 	79.490 	78.669 	83.749 	79.632 	81.956 	77.710 	82.233 	85.762 	81.213 	86.754 	85.687 	86.921 	89.426 	90.057 	88.560 	91.373 	95.893 	100.068 	89.104 
G3000,PC,DK	-51.058 	-60.825 	-63.427 	-58.901 	-54.807 	-47.199 	-45.673 	-70.988 	-58.941 	-57.172 	-64.787 	-65.956 	-64.496 	-55.666 	-79.662 	-113.888 	-103.337 	-99.698 	-120.970 	-91.842 	-68.334 	-55.119 	-53.133 	-23.231 	-46.864 	-48.153 	-44.595 	-56.066 	-38.494 	-7.164 	37.417 
G3000,PC,EA19	53.857 	51.395 	52.571 	50.200 	53.029 	54.743 	54.567 	58.753 	59.806 	65.738 	68.828 	65.048 	69.545 	69.865 	69.678 	72.274 	74.611 	71.909 	73.042 	73.981 	70.702 	74.558 	71.893 	70.175 	74.587 	78.291 	78.407 	83.044 	87.211 	91.864 	86.774 
G3000,PC,EE	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
G3000,PC,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	15.569 	75.638 	95.152 	99.850 	99.062 	99.215 	97.416 	98.809 	97.534 	99.094 	99.063 	99.130 	100.010 	99.728 	99.882 	100.031 	100.321 	99.950 	99.288 	99.877 	99.218 	100.509 	100.665 	98.987 	100.694 
G3000,PC,ES	74.237 	78.538 	82.663 	88.643 	103.060 	97.394 	96.212 	102.052 	103.865 	104.617 	101.628 	96.505 	100.951 	99.136 	97.790 	101.355 	101.325 	99.121 	100.937 	98.896 	99.424 	101.613 	98.246 	98.621 	103.536 	96.890 	98.742 	101.292 	101.419 	101.495 	97.474 
G3000,PC,EU27_2020	51.840 	49.826 	50.695 	48.747 	51.387 	53.568 	54.449 	57.390 	58.442 	63.085 	65.721 	62.501 	66.701 	67.344 	66.769 	68.986 	71.235 	68.666 	70.137 	70.679 	67.763 	71.625 	69.243 	68.279 	71.914 	74.492 	75.692 	80.190 	83.258 	89.633 	83.597 
G3000,PC,FI	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	98.890 	100.253 	100.563 	100.293 
G3000,PC,FR	93.619 	90.201 	93.514 	86.954 	94.406 	92.954 	90.606 	93.654 	90.168 	102.171 	100.034 	93.085 	98.017 	95.465 	96.316 	99.256 	99.614 	96.475 	97.792 	100.861 	92.810 	103.328 	96.807 	97.909 	103.820 	98.506 	98.980 	98.030 	104.715 	104.466 	94.720 
G3000,PC,HR	26.215 	32.114 	27.957 	29.012 	29.001 	11.567 	33.127 	38.011 	41.755 	41.368 	40.964 	29.557 	24.888 	27.624 	23.461 	23.697 	8.023 	9.175 	16.564 	8.087 	18.063 	19.510 	37.047 	31.827 	28.593 	27.101 	33.519 	53.804 	53.272 	66.406 	68.774 
G3000,PC,HU	58.006 	56.174 	52.939 	57.033 	53.495 	60.294 	70.968 	67.459 	72.417 	73.860 	75.415 	72.668 	80.522 	83.625 	79.217 	81.094 	82.195 	79.939 	88.125 	85.629 	78.715 	65.568 	72.274 	72.126 	97.666 	69.674 	78.882 	96.250 	77.943 	115.206 	75.622 
G3000,PC,IE	0.000 	0.000 	0.000 	0.189 	0.104 	3.634 	18.234 	31.225 	49.803 	63.186 	72.109 	81.622 	81.582 	85.788 	81.200 	86.101 	90.978 	92.137 	92.210 	93.990 	95.279 	95.563 	95.211 	96.296 	96.236 	96.326 	40.030 	32.681 	38.781 	52.993 	63.742 
G3000,PC,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
G3000,PC,IT	64.898 	66.360 	68.797 	63.770 	59.705 	63.894 	66.062 	67.339 	68.240 	72.857 	81.132 	77.127 	84.077 	80.345 	83.754 	84.697 	91.178 	87.025 	90.309 	88.595 	90.512 	90.154 	90.217 	88.110 	89.676 	90.406 	91.761 	92.317 	92.866 	95.057 	92.848 
G3000,PC,LT	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.759 	100.040 	99.925 	99.926 	100.035 	99.794 	100.651 	101.033 	102.904 	96.302 	100.370 	99.708 	100.267 	100.061 	100.038 	104.135 	99.706 	100.605 	99.320 	98.920 	99.965 	98.929 
G3000,PC,LU	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 	100.000 
