sex,age,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
T,Y15-74,PC_ACT,CY	: 	: 	: 	: 	: 	: 	5.4 	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.0 	11.1 	8.4 	7.1 	7.6 	7.5 
T,Y15-74,PC_ACT,CZ	: 	: 	: 	: 	: 	: 	6.7 	7.3 	6.7 b	7.0 	7.0 	6.1 	5.1 	4.0 	2.9 	2.2 	2.0 	2.6 	2.8 
T,Y15-74,PC_ACT,DE	: 	: 	: 	: 	: 	: 	7.3 	6.6 b	5.5 b	5.1 	5.0 	4.7 	4.4 	3.9 	3.6 	3.2 	3.0 	3.7 b	3.6 
T,Y15-74,PC_ACT,DK	: 	: 	: 	: 	: 	: 	6.4 	7.7 	7.8 	7.8 	7.4 	6.9 	6.3 	6.0 b	5.8 b	5.1 	5.0 	5.6 	5.1 
T,Y15-74,PC_ACT,EE	: 	: 	: 	: 	: 	: 	13.5 	16.6 	12.3 	9.9 	8.6 	7.3 	6.4 	6.8 	5.8 	5.4 	4.5 	6.9 	6.2 
T,Y15-74,PC_ACT,EL	: 	: 	: 	: 	: 	: 	9.8 	12.9 	18.1 	24.8 	27.8 	26.6 	25.0 	23.9 	21.8 	19.7 	17.9 	17.6 	14.7 
T,Y15-74,PC_ACT,ES	: 	: 	: 	: 	: 	: 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 	17.2 	15.3 	14.1 	15.5 	14.8 d
T,Y15-74,PC_ACT,FI	: 	: 	: 	: 	: 	: 	8.3 	8.6 	8.0 	7.9 	8.3 	8.7 	9.4 	8.9 	8.7 	7.5 	6.8 	7.7 	7.7 
T,Y15-74,PC_ACT,FR	8.5 	8.9 	8.9 	8.9 	8.0 	7.4 	9.1 	9.3 	9.2 	9.8 	10.3 	10.3 	10.3 	10.1 	9.4 	9.0 	8.4 	8.0 	7.9 d
T,Y15-74,PC_ACT,HR	: 	: 	: 	: 	: 	: 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.2 	13.1 	11.2 	8.5 	6.6 	7.5 	7.6 
T,Y15-74,PC_ACT,HU	: 	: 	: 	: 	: 	: 	9.7 	10.8 	10.7 	10.7 	9.8 	7.5 	6.6 	5.0 	4.0 	3.6 	3.3 	4.1 	4.1 
T,Y15-74,PC_ACT,IE	: 	: 	: 	: 	: 	: 	12.6 	14.6 	15.4 	15.5 	13.8 	11.9 	9.9 	8.4 	6.7 	5.8 	5.0 	5.9 	6.2 
T,Y15-74,PC_ACT,IT	: 	: 	: 	: 	: 	: 	7.9 	8.5 	8.5 	10.9 	12.4 	12.9 	12.0 	11.7 	11.3 	10.6 	9.9 	9.3 	9.5 
T,Y15-74,PC_ACT,LT	: 	: 	: 	: 	: 	: 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 	7.1 	6.2 	6.3 	8.5 	7.1 
T,Y15-74,PC_ACT,LU	: 	: 	: 	: 	: 	: 	5.1 	4.4 	4.9 	5.1 	5.9 	5.9 	6.7 b	6.3 	5.5 	5.6 	5.6 	6.8 	5.3 
T,Y15-74,PC_ACT,LV	: 	: 	: 	: 	: 	: 	17.7 	19.7 	16.3 	15.1 	11.9 	10.9 	9.9 	9.7 	8.7 	7.4 	6.3 	8.1 	7.6 
T,Y15-74,PC_ACT,MT	: 	: 	: 	: 	: 	: 	6.9 	6.9 	6.4 	6.2 	6.1 	5.7 	5.4 	4.7 	4.0 	3.7 	3.6 	4.4 	3.5 
T,Y15-74,PC_ACT,NL	: 	: 	: 	: 	: 	: 	5.4 	6.1 	6.0 	6.8 	8.2 	8.4 	7.9 	7.0 	5.9 	4.9 	4.4 	4.9 	4.2 
T,Y15-74,PC_ACT,PL	: 	: 	: 	: 	: 	: 	8.5 	10.0 b	10.0 	10.4 	10.6 	9.2 	7.7 	6.3 	5.0 	3.9 	3.3 	3.2 	3.4 
T,Y15-74,PC_ACT,PT	: 	: 	: 	: 	: 	: 	11.2 	12.6 	13.5 	16.6 	17.2 	14.6 	13.0 	11.5 	9.2 	7.2 	6.7 	7.0 	6.6 
T,Y15-74,PC_ACT,RO	: 	: 	: 	: 	: 	: 	8.4 	9.0 	9.1 	8.7 	9.0 	8.6 	8.4 	7.2 	6.1 	5.3 	4.9 	6.1 	5.6 
T,Y15-74,PC_ACT,SE	: 	: 	: 	: 	: 	: 	8.5 	8.8 	8.0 	8.1 	8.2 	8.1 	7.6 	7.1 	6.8 	6.5 b	7.0 	8.5 	8.8 
T,Y15-74,PC_ACT,SI	: 	: 	: 	: 	: 	: 	5.9 	7.3 	8.2 	8.9 	10.1 	9.7 	9.0 	8.0 	6.6 	5.1 	4.4 	5.0 	4.8 
T,Y15-74,PC_ACT,SK	: 	: 	: 	: 	: 	: 	12.0 	14.3 	13.5 b	13.9 	14.1 	13.1 	11.5 	9.6 	8.1 	6.5 	5.7 	6.7 	6.8 
T,Y25-74,PC_ACT,AT	: 	: 	: 	: 	: 	: 	4.7 	4.4 	4.2 	4.5 	5.0 	5.3 	5.4 	5.7 	5.3 	4.6 	4.3 	5.3 	5.6 
T,Y25-74,PC_ACT,BE	: 	: 	: 	: 	: 	: 	6.6 	7.0 	6.1 	6.5 	7.2 	7.4 	7.5 	6.9 	6.2 b	5.2 	4.7 	5.0 	5.3 
T,Y25-74,PC_ACT,BG	: 	: 	: 	: 	: 	: 	6.9 	10.1 b	11.0 b	11.9 	12.7 	11.5 	9.3 	8.0 	6.7 	5.8 	4.9 	5.6 	4.9 
T,Y25-74,PC_ACT,CY	: 	: 	: 	: 	: 	: 	4.4 	5.1 	6.4 	10.2 	13.6 	14.0 	13.2 	11.5 	9.9 	7.3 	6.3 	6.7 	6.6 
T,Y25-74,PC_ACT,CZ	: 	: 	: 	: 	: 	: 	5.8 	6.4 	5.9 b	6.0 	6.1 	5.4 	4.5 	3.5 	2.6 	2.0 	1.8 	2.3 	2.5 
T,Y25-74,PC_ACT,DE	: 	: 	: 	: 	: 	: 	6.7 	6.1 b	5.1 b	4.7 	4.6 	4.3 	4.0 	3.5 	3.2 	2.8 	2.6 	3.2 b	3.2 
