wstatus,sex,age,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
EMP,T,Y_GE18,EU	: 	: 	: 	: 	: 	8.6 e	8.4 e	8.3 e	8.8 e	8.9 e	9.0 e	9.5 e	9.5 e	9.6 e	9.4 e	9.4 e	9.2 e	: 	: 
EMP,T,Y_GE18,EU27_2007	: 	: 	8.2 e	8.1 e	8.3 	8.6 	8.4 	8.3 	8.8 	9.0 	9.0 	9.5 	9.5 	9.6 	9.4 	9.4 	9.2 e	: 	: 
EMP,T,Y_GE18,EU27_2020	: 	: 	: 	: 	: 	: 	: 	8.5 e	9.0 e	8.9 e	9.1 e	9.6 e	9.7 e	9.8 e	9.5 e	9.3 e	9.0 e	8.8 	: 
EMP,T,Y_GE18,EU28	: 	: 	: 	: 	: 	: 	: 	8.3 	8.8 	8.9 	9.0 	9.5 	9.5 	9.6 	9.4 	9.4 	9.2 e	: 	: 
EMP,T,Y_GE18,FI	: 	4.4 	3.7 	4.5 	5.0 	5.1 	3.7 	3.7 	3.9 	3.8 	3.7 	3.7 	3.5 	3.1 	2.7 	3.1 	2.9 	3.1 	2.8 
EMP,T,Y_GE18,FR	: 	5.4 	6.1 	6.0 	6.5 	6.5 b	6.6 	6.5 	7.6 	8.0 	7.8 	8.0 	7.5 	7.9 	7.3 	7.1 	7.4 	7.5 b	: 
EMP,T,Y_GE18,HR	: 	: 	: 	: 	: 	: 	: 	6.3 	6.6 	6.0 	6.2 	5.7 	5.9 	5.6 	5.8 	5.2 	5.1 	5.1 	4.9 
EMP,T,Y_GE18,HU	: 	: 	8.7 	6.8 	5.8 	5.8 	6.2 	5.3 	6.2 	5.7 	7.0 	6.7 	9.3 	9.6 	10.2 	8.4 	8.4 	7.8 	7.5 
EMP,T,Y_GE18,IE	7.5 	6.7 	6.0 	6.2 	5.6 	6.5 	5.3 	5.5 	5.5 	5.4 	5.0 	5.6 	4.9 	5.1 	5.1 	4.8 	4.3 	6.0 b	4.3 
EMP,T,Y_GE18,IS	: 	6.9 	7.9 	6.6 	7.0 	6.7 	7.7 	6.6 	6.4 	5.2 	6.1 	4.6 	6.5 	6.4 	7.0 	7.0 	: 	: 	: 
EMP,T,Y_GE18,IT	: 	8.9 	8.7 	9.0 	9.3 	9.0 	10.2 	9.5 	11.0 	11.0 	11.0 	11.0 	11.5 	11.7 	12.2 	12.2 	11.8 	10.8 	11.6 p
EMP,T,Y_GE18,LT	: 	: 	10.0 	10.0 	8.0 	9.4 	10.3 	12.6 	9.5 	7.6 	9.1 	8.3 	9.9 	8.5 	8.5 	8.1 	7.9 	8.0 	: 
EMP,T,Y_GE18,LU	7.1 	8.5 	9.8 	10.3 	9.3 	9.4 	10.0 	10.6 	9.9 	10.2 	11.2 	11.1 	11.6 	10.9 b	10.8 	11.5 	12.1 	11.9 b	: 
EMP,T,Y_GE18,LV	: 	: 	9.0 	11.1 	9.2 	10.5 	10.8 	9.4 	9.3 	8.6 	8.9 	8.1 	9.2 	8.3 	8.8 	8.1 	8.5 	8.2 	9.8 
EMP,T,Y_GE18,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.9 	7.8 	7.7 	7.6 	7.6 	7.3 	9.0 	9.8 	: 
EMP,T,Y_GE18,MK	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	11.1 	11.1 	9.8 	8.9 	9.0 	9.0 	8.8 	8.5 	7.9 	: 
EMP,T,Y_GE18,MT	: 	: 	4.3 	4.1 	4.6 	5.1 	5.4 	5.9 	6.1 	5.2 	5.7 	5.5 	5.5 	5.9 	5.7 	6.4 	6.5 	7.4 	: 
EMP,T,Y_GE18,NL	: 	: 	5.8 	4.4 	4.6 	4.8 	5.0 	5.1 	5.4 	4.6 	4.5 	5.3 	5.0 	5.6 b	6.1 	6.1 	5.5 	5.6 	5.2 
EMP,T,Y_GE18,NO	4.4 	4.4 	4.5 	6.1 	5.8 	5.4 	5.6 	5.2 	5.6 	5.0 	5.6 	5.0 	5.5 	5.7 	5.8 	6.0 	6.3 	5.9 	: 
EMP,T,Y_GE18,PL	: 	: 	13.8 	12.8 	11.7 	11.5 	11.0 	11.4 	11.1 	10.4 	10.7 	10.6 	11.2 	10.8 	9.9 	9.7 	9.7 	9.6 	: 
EMP,T,Y_GE18,PT	: 	12.4 	11.9 	11.2 	9.7 	11.8 	10.3 	9.7 	10.3 	9.9 	10.5 	10.7 	10.9 	10.9 	10.8 	9.7 	10.8 	9.5 	: 
EMP,T,Y_GE18,RO	: 	: 	: 	: 	17.4 	17.7 	17.4 	17.9 	19.1 	19.0 	18.4 	19.8 	18.8 	18.9 	17.4 	15.3 	15.7 	14.9 	15.6 
EMP,T,Y_GE18,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.9 	14.0 	13.3 	11.9 	10.8 	10.0 	9.2 	7.8 	: 
EMP,T,Y_GE18,SE	: 	6.1 	5.5 	7.4 	6.4 	7.4 b	7.5 	7.7 	7.5 	7.2 	7.6 	7.7 	8.0 	6.7 	6.9 	7.0 	7.8 	7.8 	6.6 
EMP,T,Y_GE18,SI	: 	: 	4.6 	4.8 	4.7 	5.1 	4.8 	5.3 	6.0 	6.5 	7.1 	6.4 	6.7 	6.1 	6.6 	6.0 	4.5 	5.0 	5.0 
EMP,T,Y_GE18,SK	: 	: 	8.9 	6.3 	4.9 	5.8 	5.2 	5.7 	6.3 	6.2 	5.7 	5.7 	6.0 	6.5 	6.3 	6.0 	4.4 	5.2 	: 
EMP,T,Y_GE18,TR	: 	: 	: 	18.2 	17.9 	18.4 	18.8 	18.0 	16.0 	15.3 	14.9 	14.4 	13.7 	13.5 	12.8 	13.1 	13.2 	12.9 	: 
EMP,T,Y_GE18,UK	: 	: 	8.2 	7.8 	8.0 	8.5 	6.7 	6.8 	7.9 	9.0 b	8.4 	8.7 	8.1 	8.6 	8.9 b	10.3 	: 	: 	: 
EMP,T,Y_GE18,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.2 	: 	: 	: 
