date,country,Zuzuege D,Fortzuege D,Wanderungssaldo D,Zuzuege A,Fortzuege A,Wanderungssaldo A,Zuzuege I,Fortzuege I,Wanderungssaldo I
2001-01-01,MAR,191.0,147.0,44.0,5904.0,2579.0,3325.0,6095.0,2726.0,3369.0
2001-01-01,NER,24.0,4.0,20.0,171.0,92.0,79.0,195.0,96.0,99.0
2001-01-01,CMR,77.0,47.0,30.0,2219.0,859.0,1360.0,2296.0,906.0,1390.0
2001-01-01,ZAF,1186.0,804.0,382.0,1355.0,893.0,462.0,2541.0,1697.0,844.0
2001-01-01,RWA,23.0,32.0,-9.0,70.0,79.0,-9.0,93.0,111.0,-18.0
2001-01-01,NAM,341.0,204.0,137.0,133.0,83.0,50.0,474.0,287.0,187.0
2001-01-01,SEN,57.0,57.0,0.0,279.0,218.0,61.0,336.0,275.0,61.0
2001-01-01,SOM,17.0,5.0,12.0,447.0,588.0,-141.0,464.0,593.0,-129.0
2001-01-01,TZA,148.0,134.0,14.0,173.0,140.0,33.0,321.0,274.0,47.0
2001-01-01,TUN,244.0,205.0,39.0,2573.0,1211.0,1362.0,2817.0,1416.0,1401.0
2001-01-01,UGA,56.0,68.0,-12.0,227.0,119.0,108.0,283.0,187.0,96.0
2001-01-01,EGY,391.0,313.0,78.0,1917.0,1361.0,556.0,2308.0,1674.0,634.0
2001-01-01,CAF,23.0,19.0,4.0,21.0,19.0,2.0,44.0,38.0,6.0
2001-01-01,XXX,700.0,495.0,205.0,8030.0,4379.0,3651.0,8730.0,4874.0,3856.0
2001-01-01,ARG,618.0,271.0,347.0,1369.0,699.0,670.0,1987.0,970.0,1017.0
2001-01-01,BOL,182.0,126.0,56.0,269.0,186.0,83.0,451.0,312.0,139.0
2001-01-01,BRA,1368.0,1071.0,297.0,5104.0,3096.0,2008.0,6472.0,4167.0,2305.0
2001-01-01,CHL,449.0,274.0,175.0,726.0,449.0,277.0,1175.0,723.0,452.0
2001-01-01,Costa Rica,129.0,82.0,47.0,155.0,96.0,59.0,284.0,178.0,106.0
2001-01-01,HND,59.0,23.0,36.0,84.0,38.0,46.0,143.0,61.0,82.0
2001-01-01,CAN,1322.0,1926.0,-604.0,2690.0,2302.0,388.0,4012.0,4228.0,-216.0
2001-01-01,COL,385.0,131.0,254.0,1848.0,919.0,929.0,2233.0,1050.0,1183.0
2001-01-01,MEX,621.0,500.0,121.0,1674.0,1147.0,527.0,2295.0,1647.0,648.0
2001-01-01,NIC,36.0,18.0,18.0,64.0,44.0,20.0,100.0,62.0,38.0
2001-01-01,PRY,339.0,240.0,99.0,163.0,111.0,52.0,502.0,351.0,151.0
2001-01-01,PER,247.0,133.0,114.0,1175.0,567.0,608.0,1422.0,700.0,722.0
2001-01-01,URY,114.0,58.0,56.0,135.0,79.0,56.0,249.0,137.0,112.0
2001-01-01,"Venezuela, Bolivarische Republik",287.0,156.0,131.0,572.0,307.0,265.0,859.0,463.0,396.0
2001-01-01,USA,11514.0,13485.0,-1971.0,17435.0,17701.0,-266.0,28949.0,31186.0,-2237.0
2001-01-01,XXX,1044.0,691.0,353.0,3698.0,1586.0,2112.0,4742.0,2277.0,2465.0
2001-01-01,YEM,42.0,28.0,14.0,346.0,195.0,151.0,388.0,223.0,165.0
2001-01-01,ARM,58.0,10.0,48.0,1644.0,1296.0,348.0,1702.0,1306.0,396.0
2001-01-01,AFG,31.0,27.0,4.0,5995.0,2446.0,3549.0,6026.0,2473.0,3553.0
2001-01-01,AZE,69.0,13.0,56.0,2703.0,769.0,1934.0,2772.0,782.0,1990.0
2001-01-01,GEO,71.0,17.0,54.0,3734.0,2233.0,1501.0,3805.0,2250.0,1555.0
2001-01-01,VNM,143.0,88.0,55.0,7774.0,3518.0,4256.0,7917.0,3606.0,4311.0
2001-01-01,PRK,28.0,27.0,1.0,400.0,303.0,97.0,428.0,330.0,98.0
2001-01-01,IND,462.0,381.0,81.0,8790.0,4602.0,4188.0,9252.0,4983.0,4269.0
2001-01-01,IDN,323.0,276.0,47.0,1638.0,959.0,679.0,1961.0,1235.0,726.0
2001-01-01,IRQ,80.0,17.0,63.0,18111.0,3145.0,14966.0,18191.0,3162.0,15029.0
2001-01-01,IRN,111.0,90.0,21.0,6573.0,3966.0,2607.0,6684.0,4056.0,2628.0
2001-01-01,ISR,399.0,381.0,18.0,1560.0,751.0,809.0,1959.0,1132.0,827.0
2001-01-01,JPN,484.0,452.0,32.0,5949.0,4823.0,1126.0,6433.0,5275.0,1158.0
2001-01-01,KAZ,41212.0,557.0,40655.0,11937.0,2464.0,9473.0,53149.0,3021.0,50128.0
2001-01-01,JOR,157.0,112.0,45.0,819.0,565.0,254.0,976.0,677.0,299.0
